2025-07-03 20:23:14 [    INFO] game_sys.character:462 | Valiant Hero unequipped their weapon.
2025-07-03 20:23:14 [    INFO] game_sys.character:442 | Valiant Hero equipped weapon wooden_stick.
2025-07-03 20:23:14 [    INFO] game_sys.character:96 | Job 'commoner' assigned to Valiant Hero successfully
2025-07-03 20:23:14 [    INFO] simple_demo:201 | Created player: Valiant Hero
2025-07-03 20:23:14 [    INFO] simple_demo:192 | Welcome, Valiant Hero!
2025-07-03 20:23:14 [    INFO] game_sys.character:14 | Creating character from template: goblin
2025-07-03 20:23:14 [    INFO] game_sys.character:62 | Creating actor: Forest Goblin
2025-07-03 20:23:14 [    INFO] game_sys.inventory:17 | Initialized inventory for Forest Goblin with max size 20
2025-07-03 20:23:14 [    INFO] game_sys.combat:52 | Initializing Combat Engine
2025-07-03 20:23:14 [    INFO] game_sys.combat:39 | Registered actor Forest Goblin with TurnManager
2025-07-03 20:23:14 [    INFO] game_sys.character:54 | Created enemy: Forest Goblin
2025-07-03 20:23:14 [    INFO] game_sys.character:40 | Assigning job 'commoner' to Forest Goblin
2025-07-03 20:23:14 [    INFO] game_sys.items:53 | Successfully created item 'basic_clothes'
2025-07-03 20:23:14 [    INFO] game_sys.items:53 | Successfully created item 'wooden_stick'
2025-07-03 20:23:14 [    INFO] game_sys.character:442 | Forest Goblin equipped weapon wooden_stick.
2025-07-03 20:23:14 [    INFO] game_sys.character:96 | Job 'commoner' assigned to Forest Goblin successfully
2025-07-03 20:23:14 [    INFO] simple_demo:211 | Created enemy: Forest Goblin
2025-07-03 20:23:14 [    INFO] simple_demo:192 | A Forest Goblin appears!
2025-07-03 20:23:14 [    INFO] simple_demo:45 | Demo initialized
2025-07-03 20:23:14 [    INFO] simple_demo:609 | Starting demo
2025-07-03 20:23:20 [    INFO] simple_demo:192 | No equipment system available!
2025-07-03 20:23:44 [    INFO] simple_demo:192 | Opening inventory...
2025-07-03 20:43:02 [    INFO] game_sys.hooks:50 | Hooks system initialized
